Zone 1 Decay Concentrations:
Constituent             Avg Mass     Fraction in Level 1
Level 1    Isotope    [amu/atom]        Mass        Atom
           he-4           4.0026   1.186e-06   2.341e-05
           c-12          12.0000   8.399e-02   5.533e-01
           c-13          13.0034   1.067e-03   6.484e-03
           o-16          15.9949   7.850e-03   3.880e-02
           o-17          16.9991   3.378e-06   1.571e-05
           o-18          17.9992   2.043e-05   8.972e-05
           si-28         27.9769   3.663e-02   1.035e-01
           si-29         28.9765   1.996e-03   5.446e-03
           si-30         29.9738   1.410e-03   3.718e-03
           u-235        235.0439   1.714e-01   5.766e-02
           u-236        236.0456   3.818e-05   1.278e-05
           u-238        238.0508   6.954e-01   2.309e-01
           np-237       237.0482   5.771e-08   1.925e-08
           np-239       239.0529   2.920e-19   9.655e-20
           pu-239       239.0522   5.108e-05   1.689e-05
           br-81         80.9163   1.772e-08   1.731e-08
           se-82         81.9167   2.894e-08   2.792e-08
           kr-83         82.9141   4.892e-08   4.664e-08
           kr-84         83.9115   1.644e-07   1.548e-07
           kr-85         84.9125   2.659e-08   2.475e-08
           rb-85         84.9118   1.728e-07   1.609e-07
           kr-86         85.9106   4.333e-07   3.986e-07
           rb-87         86.9092   5.782e-07   5.259e-07
           sr-88         87.9056   8.226e-07   7.397e-07
           sr-89         88.9075   1.633e-07   1.452e-07
           y-89          88.9058   9.269e-07   8.241e-07
           sr-90         89.9077   1.535e-06   1.350e-06
           y-91          90.9073   2.698e-07   2.346e-07
           zr-91         90.9056   1.120e-06   9.735e-07
           zr-92         91.9050   1.672e-06   1.438e-06
           zr-93         92.9065   1.786e-06   1.520e-06
           zr-94         93.9063   1.896e-06   1.596e-06
           zr-95         94.9080   4.028e-07   3.355e-07
           nb-95         94.9068   3.420e-07   2.848e-07
           mo-95         94.9058   1.065e-06   8.873e-07
           zr-96         95.9083   1.944e-06   1.602e-06
           mo-97         96.9060   1.649e-06   1.345e-06
           mo-98         97.9054   1.851e-06   1.494e-06
           tc-99         98.9063   1.702e-06   1.360e-06
           mo-100        99.9075   2.095e-06   1.657e-06
           ru-101       100.9056   1.584e-06   1.241e-06
           ru-102       101.9043   1.347e-06   1.045e-06
           ru-103       102.9063   8.328e-08   6.397e-08
           rh-103       102.9055   8.557e-07   6.573e-07
           ru-104       103.9054   6.189e-07   4.709e-07
           pd-105       104.9051   2.459e-07   1.853e-07
           ru-106       105.9073   5.032e-08   3.756e-08
           pd-107       106.9051   2.433e-08   1.799e-08
           i-127        126.9045   3.137e-08   1.954e-08
           te-128       127.9045   7.654e-08   4.730e-08
           i-129        128.9050   1.205e-07   7.392e-08
           te-130       129.9062   9.191e-07   5.593e-07
           i-131        130.9061   3.491e-11   2.108e-11
           xe-131       130.9051   1.319e-06   7.965e-07
